"Rank","WSIS","Flex Position (RB/WR/TE)","Team","Pos","Opp","Best","Worst","Avg","Std Dev"
"186","","Robert Foster","BUF","WR91","vs. NYJ","145","212","183.6","11.4"
"192","","TJ Jones","DET","WR94","at ARI","153","233","184.0","9.4"
"258","","Demetrius Harris","KC","TE45","vs. BAL","178","191","184.5","6.5"
"178","","Carlos Hyde","JAC","RB63","at TEN","148","216","184.8","12.0"
"196","","Austin Carr","NO","WR95","at TB","142","213","185.5","15.0"
"259","","Richie James","SF","WR121","vs. DEN","172","199","185.5","13.5"
"243","","Adam Shaheen","CHI","TE40","vs. LAR","170","207","185.6","17.5"
"179","","Wayne Gallman","NYG","RB64","at WAS","152","220","185.7","10.3"
"260","","Torrey Smith","CAR","WR122","at CLE","170","202","186.0","16.0"
"182","","Kyle Juszczyk","SF","RB65","vs. DEN","149","228","186.1","14.4"
"246","","Ryan Griffin","HOU","TE42","vs. IND","161","210","186.3","17.6"
"224","","James O'Shaughnessy","JAC","TE35","at TEN","157","228","188.4","15.4"
"240","","Isaiah McKenzie","BUF","WR113","vs. NYJ","145","208","190.3","16.0"
"203","","Ryan Switzer","PIT","WR98","at OAK","141","213","191.5","16.8"
"208","","Bennie Fowler","NYG","WR101","at WAS","172","224","192.8","7.0"
"197","","Kapri Bibbs","WAS","RB69","vs. NYG","138","218","193.0","14.4"
"244","","Virgil Green","LAC","TE41","vs. CIN","169","236","193.2","23.6"
"199","","Laquon Treadwell","MIN","WR97","at SEA","161","225","193.5","8.8"
"191","","Chris Ivory","BUF","RB66","vs. NYJ","162","217","193.7","12.3"
"207","","Trey Quinn","WAS","WR100","vs. NYG","147","243","193.9","16.1"
"205","","Jaron Brown","SEA","WR99","vs. MIN","130","227","194.2","10.1"
"230","","Mike Gesicki","MIA","TE37","vs. NE","168","228","194.8","11.5"
"265","","Zach Pascal","IND","WR124","at HOU","181","209","195.0","14.0"
"250","","Brice Butler","MIA","WR118","vs. NE","188","208","195.3","7.6"
"195","","Damien Williams","KC","RB68","vs. BAL","155","229","196.8","18.4"
"233","","Pierre Garcon","SF","WR110","vs. DEN","140","214","197.2","20.1"
"194","","Jordan Wilkins","IND","RB67","at HOU","154","221","197.6","10.7"
"245","","Chad Williams","ARI","WR116","vs. DET","155","257","198.8","34.7"
"254","","Lance Kendricks","GB","TE44","vs. ATL","174","222","199.0","19.6"
"210","","Trent Taylor","SF","WR102","vs. DEN","176","222","199.9","8.9"
"252","","Ed Dickson","SEA","TE43","vs. MIN","170","213","200.0","17.4"
"200","","Wendell Smallwood","PHI","RB70","at DAL","153","237","200.7","15.4"
"256","","DeAndre Carter","HOU","WR120","vs. IND","195","211","200.7","7.3"
"202","","Ronald Jones II","TB","RB72","vs. NO","157","214","201.1","9.7"
"211","","Josh Bellamy","CHI","WR103","vs. LAR","186","235","201.3","7.2"
"201","","DeAndre Washington","OAK","RB71","vs. PIT","163","226","201.9","11.5"
"218","","Brandon Marshall","NO","WR106","at TB","184","225","202.0","10.3"
"242","","Cody Core","CIN","WR115","at LAC","177","224","202.1","7.4"
"217","","Charcandrick West","KC","RB78","vs. BAL","124","234","202.2","21.5"
"204","","Devontae Booker","DEN","RB73","at SF","166","218","203.0","9.4"
"214","","Jordan Matthews","PHI","WR104","at DAL","148","247","204.4","11.5"
"236","","James Washington","PIT","WR112","at OAK","172","228","205.0","5.4"
"219","","Breshad Perriman","CLE","WR107","vs. CAR","152","221","205.8","6.8"
"206","","Rod Smith","DAL","RB74","vs. PHI","161","222","206.3","11.8"
"216","","Allen Hurns","DAL","WR105","vs. PHI","182","226","206.8","7.8"
"262","","Phillip Dorsett","NE","WR123","at MIA","189","224","207.0","14.3"
"221","","Russell Shepard","NYG","WR108","at WAS","178","242","207.6","9.9"
"269","","Luke Willson","DET","TE46","at ARI","194","223","208.5","14.5"
"253","","Trent Sherfield","ARI","WR119","vs. DET","195","239","208.8","17.6"
"226","","Melvin Gordon","LAC","RB82","vs. CIN","26","233","210.0","43.9"
"213","","Trenton Cannon","NYJ","RB76","at BUF","167","222","213.0","9.5"
"212","","Javorius Allen","BAL","RB75","at KC","164","266","213.2","8.6"
"215","","John Kelly","LAR","RB77","at CHI","176","231","214.4","10.5"
"220","","Marcus Murphy","BUF","RB79","vs. NYJ","168","245","216.1","9.3"
"267","","J.J. Nelson","ARI","WR125","vs. DET","206","235","217.7","12.5"
"234","","Tim Patrick","DEN","WR111","at SF","167","230","219.3","8.7"
"223","","Zach Zenner","DET","RB80","at ARI","202","230","219.6","5.4"
"247","","Matthew Dayes","SF","RB89","vs. DEN","145","239","219.8","13.6"
"272","","Blake Jarwin","DAL","TE47","vs. PHI","184","258","221.0","37.0"
"225","","Taquan Mizzell","CHI","RB81","vs. LAR","192","230","221.2","5.6"
"227","","Kalen Ballage","MIA","RB83","vs. NE","182","256","222.4","3.9"
"232","","James Develin","NE","RB86","at MIA","190","241","222.7","10.5"
"271","","Justin Davis","LAR","RB99","at CHI","203","242","223.7","16.0"
"229","","Alfred Morris","SF","RB84","vs. DEN","190","262","224.2","9.3"
"270","","Leonte Carroo","MIA","WR126","vs. NE","208","254","224.3","21.0"
"231","","Darrel Williams","KC","RB85","vs. BAL","206","232","224.6","6.3"
"237","","Alex Armah","CAR","RB88","at CLE","218","234","225.3","4.2"
"235","","Cameron Artis-Payne","CAR","RB87","at CLE","210","241","226.6","2.8"
"275","","Noah Brown","DAL","WR127","vs. PHI","200","255","227.5","27.5"
"261","","Trey Edmunds","PIT","RB94","at OAK","182","253","228.6","7.3"
"268","","J.D. McKissic","SEA","RB98","vs. MIN","224","235","229.0","3.3"
"249","","Mark Walton","CIN","RB90","at LAC","223","241","232.1","4.5"
"266","","Anthony Sherman","KC","RB97","vs. BAL","224","241","232.6","2.8"
"251","","Elijhaa Penny","NYG","RB91","at WAS","221","243","233.1","3.6"
"278","","Cam Batson","TEN","WR128","vs. JAC","219","249","234.0","15.0"
"257","","Tommy Bohanon","JAC","RB93","at TEN","223","239","234.1","4.0"
"264","","CJ Ham","MIN","RB96","at SEA","229","241","235.6","2.8"
"274","","Keith Smith","OAK","RB101","vs. PIT","228","242","235.8","2.4"
"263","","Andy Janovich","DEN","RB95","at SF","228","240","236.0","3.0"
"273","","Detrez Newsome","LAC","RB100","vs. CIN","229","242","237.9","4.5"
"276","","Patrick DiMarco","BUF","RB102","vs. NYJ","235","243","239.2","3.0"
"277","","Dontrell Hilliard","CLE","RB103","vs. CAR","227","244","239.4","3.3"
"279","","Roosevelt Nix","PIT","RB104","at OAK","238","241","239.5","1.5"
"280","","Zach Line","NO","RB105","at TB","240","243","241.5","1.5"
""
""
