"Rank","WSIT","Flex Position (RB/WR/TE)","Team","Pos","Bye","Best","Worst","Avg","Std Dev"
"167","","Seth Roberts","OAK","WR81","7","155","200","176.2","6.4"
"178","","Jesse James","PIT","TE28","7","145","194","176.8","15.1"
"180","","Cordarrelle Patterson","NE","WR86","11","167","188","178.0","4.3"
"181","","Chester Rogers","IND","WR87","9","170","195","179.0","6.5"
"182","","Javorius Allen","BAL","RB66","10","151","228","179.2","5.8"
"183","","Jordan Wilkins","IND","RB67","9","131","225","179.6","21.0"
"211","","Kapri Bibbs","WAS","RB79","4","164","194","180.7","12.5"
"184","","Allen Hurns","DAL","WR88","8","169","232","180.8","4.6"
"200","","Jordan Matthews","PHI","WR94","9","156","197","182.0","16.0"
"201","","Kendrick Bourne","SF","WR95","11","157","201","182.3","16.1"
"185","","Hayden Hurst","BAL","TE30","10","153","202","182.8","10.6"
"186","","Kyle Juszczyk","SF","RB68","11","170","243","182.8","10.4"
"203","","Trey Quinn","WAS","WR96","4","162","211","183.3","17.8"
"187","","Chris Ivory","BUF","RB69","11","179","205","184.6","3.0"
"212","","Brandon Marshall","NO","WR99","6","139","216","184.7","33.0"
"188","","Alfred Blue","HOU","RB70","10","168","209","185.2","11.8"
"238","","Devonta Freeman","ATL ","RB87","8","186","186","186.0","0.0"
"190","","D'Onta Foreman","HOU ","RB71","10","144","212","186.2","25.6"
"191","","John Kelly","LAR","RB72","12","130","245","187.8","43.9"
"192","","Chase Edmonds","ARI","RB73","9","151","206","187.8","12.3"
"239","","Robert Foster","BUF","WR110","11","188","188","188.0","0.0"
"193","","Laquon Treadwell","MIN","WR90","10","144","212","188.6","23.7"
"217","","DaeSean Hamilton","DEN","WR100","10","168","229","189.3","28.1"
"206","","Jaron Brown","SEA","WR97","7","163","208","189.5","16.7"
"194","","Alfred Morris","SF","RB74","11","122","210","190.2","11.7"
"195","","Rod Smith","DAL","RB75","8","168","244","190.6","14.9"
"196","","Devontae Booker","DEN","RB76","10","173","211","190.6","8.4"
"197","","Travis Benjamin","LAC","WR91","8","167","234","191.4","12.9"
"198","","Ryan Grant","IND","WR92","9","149","206","191.8","11.6"
"199","","D.J. Chark","JAC","WR93","9","144","209","192.2","14.3"
"220","","Jakeem Grant","MIA ","WR102","11","177","218","192.3","18.3"
"227","","C.J. Anderson","OAK","RB83","7","161","225","193.0","32.0"
"202","","Vernon Davis","WAS","TE31","4","175","208","193.4","7.8"
"204","","Jacquizz Rodgers","TB","RB77","5","170","215","194.8","8.6"
"205","","Ed Dickson","SEA","TE32","7","142","235","195.6","32.0"
"241","","Keith Kirkwood","NO","WR111","6","199","199","199.0","0.0"
"207","","Antonio Gates","LAC","TE33","8","171","213","200.0","11.0"
"242","","Matt LaCosse","DEN","TE44","10","200","200","200.0","0.0"
"208","","Tyler Higbee","LAR","TE34","12","192","209","200.2","5.4"
"215","","Mike Gesicki","MIA","TE36","11","190","218","201.0","10.4"
"243","","Cody Core","CIN","WR112","9","201","201","201.0","0.0"
"218","","Ryan Griffin","HOU","TE37","10","195","213","201.3","7.2"
"244","","Terrance Williams","DAL ","WR113","8","202","202","202.0","0.0"
"209","","Phillip Dorsett","NE","WR98","11","188","233","202.2","18.4"
"210","","Wayne Gallman","NYG","RB78","9","193","226","202.4","7.8"
"233","","Trenton Cannon","NYJ","RB86","11","186","219","202.5","16.5"
"219","","Torrey Smith","CAR","WR101","4","183","217","202.8","13.7"
"246","","Erik Swoope","IND","TE45","9","203","203","203.0","0.0"
"234","","James Washington","PIT","WR107","7","190","217","203.5","13.5"
"247","","Aldrick Robinson","MIN","WR115","10","204","204","204.0","0.0"
"248","","Rishard Matthews","NYJ","WR116","11","204","204","204.0","0.0"
"224","","Virgil Green","LAC","TE39","8","173","231","205.0","24.1"
"225","","Chad Williams","ARI","WR104","9","164","237","205.7","30.7"
"213","","DeAndre Washington","OAK","RB80","7","170","223","206.4","14.7"
"222","","Austin Carr","NO","WR103","6","195","216","206.5","7.6"
"223","","Geoff Swaim","DAL","TE38","8","195","232","207.0","14.6"
"237","","Luke Willson","DET","TE42","6","204","211","207.5","3.5"
"214","","Michael Roberts","DET","TE35","6","191","230","208.0","14.8"
"216","","Kalen Ballage","MIA","RB81","11","152","224","208.2","28.2"
"251","","Jordan Akins","HOU","TE46","10","210","210","210.0","0.0"
"221","","Marcus Murphy","BUF","RB82","11","193","229","211.2","15.2"
"230","","Ameer Abdullah","MIN","RB85","10","202","219","211.3","7.0"
"231","","Adam Shaheen","CHI","TE41","5","204","227","212.0","10.6"
"252","","Mike Gillislee","FA","RB90","","214","214","214.0","0.0"
"253","","Auden Tate","CIN","WR117","9","214","214","214.0","0.0"
"254","","Jarius Wright","CAR","WR118","4","215","215","215.0","0.0"
"255","","J.J. Nelson","ARI","WR119","9","215","215","215.0","0.0"
"228","","Samaje Perine","WAS","RB84","4","202","226","216.5","9.1"
"240","","James O'Shaughnessy","JAC","TE43","9","194","240","217.0","23.0"
"256","","Mike Wallace","PHI ","WR120","9","217","217","217.0","0.0"
"232","","Tavon Austin","DAL","WR106","8","205","231","219.5","9.3"
"245","","Trent Taylor","SF","WR114","11","212","227","219.5","7.5"
"258","","De'Anthony Thomas","KC ","WR121","12","220","220","220.0","0.0"
"259","","Ryan Switzer","PIT","WR122","7","221","221","221.0","0.0"
"260","","Shane Vereen","NO ","RB92","6","222","222","222.0","0.0"
"261","","DeAndre Carter","HOU","WR123","10","222","222","222.0","0.0"
"249","","Robert Kelley","WAS ","RB88","4","219","226","222.5","3.5"
"262","","J.D. McKissic","SEA","RB93","7","223","223","223.0","0.0"
"264","","Stevan Ridley","PIT","RB95","7","224","224","224.0","0.0"
"265","","T.J. Logan","ARI","RB96","9","225","225","225.0","0.0"
"266","","Benny Cunningham","CHI","RB97","5","226","226","226.0","0.0"
"267","","Cameron Artis-Payne","CAR","RB98","4","227","227","227.0","0.0"
"257","","Mike Boone","MIN","RB91","10","221","234","227.5","6.5"
"250","","Mark Walton","CIN","RB89","9","223","235","227.7","5.2"
"268","","Paul Perkins","NYG","RB99","9","228","228","228.0","0.0"
"269","","De'Angelo Henderson","NYJ","RB100","11","229","229","229.0","0.0"
"263","","Jonathan Stewart","NYG","RB94","9","224","236","230.0","6.0"
"270","","Isaiah McKenzie","BUF","WR124","11","230","230","230.0","0.0"
"271","","Roc Thomas","MIN","RB101","10","230","237","233.5","3.5"
"272","","Zach Zenner","DET","RB102","6","236","236","236.0","0.0"
"273","","Nick Boyle","BAL","TE47","10","239","239","239.0","0.0"
"274","","Rhett Ellison","NYG","TE48","9","241","241","241.0","0.0"
"275","","Levine Toilolo","DET","TE49","6","242","242","242.0","0.0"
"276","","Taquan Mizzell","CHI","RB103","5","246","246","246.0","0.0"
""
""
